user_id,device,group,converted
1,Desktop,Treatment,0
2,Mobile,Treatment,0
3,Desktop,Control,0
4,Desktop,Control,0
5,Desktop,Control,0
6,Desktop,Treatment,0
7,Desktop,Treatment,0
8,Mobile,Treatment,0
9,Desktop,Control,0
10,Desktop,Treatment,0
11,Desktop,Control,0
12,Mobile,Treatment,0
13,Mobile,Control,0
14,Desktop,Control,0
15,Desktop,Control,0
16,Desktop,Treatment,0
17,Desktop,Treatment,0
18,Desktop,Control,0
19,Desktop,Treatment,0
20,Desktop,Control,0
21,Desktop,Treatment,0
22,Desktop,Control,0
23,Desktop,Treatment,1
24,Desktop,Treatment,0
25,Desktop,Control,0
26,Desktop,Control,0
27,Desktop,Control,1
28,Desktop,Treatment,0
29,Desktop,Control,0
30,Desktop,Control,0
31,Desktop,Treatment,0
32,Desktop,Treatment,0
33,Desktop,Treatment,0
34,Mobile,Treatment,0
35,Mobile,Treatment,0
36,Mobile,Control,0
37,Desktop,Control,0
38,Desktop,Treatment,0
39,Desktop,Treatment,1
40,Desktop,Control,0
41,Desktop,Control,0
42,Desktop,Control,0
43,Desktop,Treatment,0
44,Mobile,Treatment,0
45,Desktop,Control,0
46,Desktop,Control,0
47,Desktop,Control,0
48,Desktop,Control,0
49,Desktop,Control,0
50,Desktop,Control,0
51,Mobile,Control,1
52,Desktop,Control,0
53,Mobile,Control,1
54,Mobile,Treatment,0
55,Desktop,Treatment,1
56,Mobile,Treatment,0
57,Desktop,Treatment,0
58,Desktop,Treatment,0
59,Desktop,Control,0
60,Desktop,Control,0
61,Desktop,Treatment,0
62,Desktop,Control,0
63,Mobile,Control,0
64,Desktop,Control,0
65,Desktop,Treatment,0
66,Desktop,Control,0
67,Desktop,Control,0
68,Mobile,Treatment,0
69,Desktop,Treatment,0
70,Mobile,Control,0
71,Desktop,Control,0
72,Desktop,Treatment,0
73,Desktop,Control,1
74,Mobile,Control,0
75,Desktop,Control,1
76,Desktop,Treatment,0
77,Desktop,Control,0
78,Desktop,Treatment,0
79,Desktop,Treatment,0
80,Desktop,Treatment,0
81,Mobile,Treatment,0
82,Desktop,Treatment,0
83,Desktop,Treatment,0
84,Desktop,Control,0
85,Desktop,Control,0
86,Desktop,Treatment,0
87,Desktop,Treatment,0
88,Desktop,Treatment,0
89,Mobile,Treatment,0
90,Desktop,Control,0
91,Desktop,Control,0
92,Desktop,Treatment,0
93,Desktop,Control,0
94,Desktop,Control,0
95,Desktop,Treatment,0
96,Desktop,Treatment,0
97,Desktop,Treatment,0
98,Desktop,Treatment,0
99,Desktop,Control,0
100,Desktop,Control,0
101,Desktop,Treatment,1
102,Desktop,Control,0
103,Desktop,Treatment,0
104,Desktop,Control,0
105,Mobile,Treatment,0
106,Desktop,Treatment,0
107,Desktop,Control,0
108,Desktop,Control,0
109,Desktop,Treatment,0
110,Desktop,Treatment,1
111,Desktop,Control,0
